WKT;full_id;osm_id;osm_type;frequency;local_wiki;name;operator;plant_meth;plant_outp;plant_sour;power;voltage;wikidata;disused_pl;plant_ou_1;website;wikipedia;bicycle;bridge;foot;highway;horse;layer;maxweight;motor_vehi;surface;barrier;name_en;start_date;generator_;addr_city;addr_count;addr_house;addr_place;addr_postc;addr_stree;addr_subur;at_bev_add;contact_fa;contact_ph;contact_we;generato_1;generato_2;generato_3;generato_4;plant_ou_2;generato_5;capacity;diameter;flow_direc;location;man_made;pressure;substance;usage;waterway;descriptio;generato_6;plant_ou_3;email;phone;constructi;canal;direction;tunnel;OBJECTID;BL_KZ;BL;ST_KZ;ST;FL;FL_KM;STAND;Shape__Are;Shape__Len
POINT (13.9860957614367 48.4335940014425);w888586642;888586642;way;;;Druckrohrleitung Stausee Langhalsen-Kraftwerk Partenstein;Energie AG;;;;;;;;;;;;;;;;-3;;;;;;;;;;;;;;;;;;;;;;;;;26m³/s;2600;forward;overground;pipeline;17,6;water;headrace;pressurised;;;;;;;pressurised;forward;culvert;4;4;OberÃ¶sterreich;1;Ã–sterreich;11982589835;11982,58984;01.10.2017;26892314899;1320561,023
POINT (13.985871831397 48.4333926025976);w888586643;888586643;way;;;Druckrohrleitung Stausee Langhalsen-Kraftwerk Partenstein;Energie AG;;;;;;;;;;;;;;;;-3;;;;;;;;;;;;;;;;;;;;;;;;;13m³/s;1600;forward;overground;pipeline;17,6;water;headrace;pressurised;;;;;;;pressurised;forward;culvert;4;4;OberÃ¶sterreich;1;Ã–sterreich;11982589835;11982,58984;01.10.2017;26892314899;1320561,023
POINT (13.9849328601216 48.4322221676385);w888586644;888586644;way;;;Unterwasserstollen Kraftwerk Partenstein;;;;;;;;;;;;;;;;;-1;;;;;;;;;;;;;;;;;;;;;;;;;;;forward;;;;water;;drain;;;;;;;;;culvert;4;4;OberÃ¶sterreich;1;Ã–sterreich;11982589835;11982,58984;01.10.2017;26892314899;1320561,023
POINT (13.985444373725 48.4330513451392);w888586645;888586645;way;;;Nachschaltanlage;Energie AG;;;hydro;plant;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;4;OberÃ¶sterreich;1;Ã–sterreich;11982589835;11982,58984;01.10.2017;26892314899;1320561,023
POINT (13.9857617346497 48.4333830769002);w888586649;888586649;way;;;;;;;;;;;;;;;;;;;;-3;;;;;;;;;;;;;;;;;;;;;;;;;;;forward;;;;water;;drain;;;;;;;;;culvert;4;4;OberÃ¶sterreich;1;Ã–sterreich;11982589835;11982,58984;01.10.2017;26892314899;1320561,023
POINT (13.9855766 48.43311525);w888586651;888586651;way;;;;Energie AG;;;;;;;;;;;;;;;;-1;;;;;;;;;;;;;;;;;;;;;;;;;;;forward;;;;water;;pressurised;;;;;;;;;culvert;4;4;OberÃ¶sterreich;1;Ã–sterreich;11982589835;11982,58984;01.10.2017;26892314899;1320561,023
POINT (16.2652397360625 48.107242646353);w891931978;891931978;way;;;;;photovoltaic;;solar;plant;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;3;NiederÃ¶sterreich;1;Ã–sterreich;19179264850;19179,26485;01.10.2017;43300422994;1756980,271
POINT (13.98840705 48.44366565);w893449889;893449889;way;;;Stollenfenster 2;;;;;;;;;;;;;;;;;-1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;yes;4;4;OberÃ¶sterreich;1;Ã–sterreich;11982589835;11982,58984;01.10.2017;26892314899;1320561,023
POINT (13.9927982154138 48.4727830183383);w893449890;893449890;way;;;Stollenfenster 1;;;;;;;;;;;;;;;;;-1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;yes;4;4;OberÃ¶sterreich;1;Ã–sterreich;11982589835;11982,58984;01.10.2017;26892314899;1320561,023
POINT (13.99700595 48.4780964);w893449891;893449891;way;;;Rohrbrücke;Energie AG;;;;;;;;;;;;aqueduct;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;26m³/s;2800;;overground;pipeline;;water;headrace;canal;;;;;;;pressurised;forward;flooded;4;4;OberÃ¶sterreich;1;Ã–sterreich;11982589835;11982,58984;01.10.2017;26892314899;1320561,023
POINT (13.99708585 48.47789675);w893449892;893449892;way;;;Druckstollen KW Partenstein;Energie AG;;;;;;;;;;;;;;;;-3;;;;;;;;;;;;;;;;;;;;;;;;;26m³/s;2800;;underground;pipeline;;water;headrace;canal;;;;;;;pressurised;forward;flooded;4;4;OberÃ¶sterreich;1;Ã–sterreich;11982589835;11982,58984;01.10.2017;26892314899;1320561,023
POINT (14.0021339 48.48759125);w893516026;893516026;way;;;;;;;;;;;;;;;;yes;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;4;OberÃ¶sterreich;1;Ã–sterreich;11982589835;11982,58984;01.10.2017;26892314899;1320561,023
POINT (13.98564015 48.43336425);w893545139;893545139;way;;;;;;;;;;;;;;;;;;;;-1;;;;;;;;;;;;;;;;;;;;;;;;;;;forward;;;;water;;drain;;;;;;;;;culvert;4;4;OberÃ¶sterreich;1;Ã–sterreich;11982589835;11982,58984;01.10.2017;26892314899;1320561,023
POINT (13.9853297 48.4329954);w893545140;893545140;way;;;Unterwasserstollen Kraftwerk Partenstein;;;;;;;;;;;;;;;;;-1;;;;;;;;;;;;;;;;;;;;;;;;;;;forward;;;;water;;drain;;;;;;;;;culvert;4;4;OberÃ¶sterreich;1;Ã–sterreich;11982589835;11982,58984;01.10.2017;26892314899;1320561,023
POINT (13.9857208360562 48.4333625050607);w893545141;893545141;way;;;;;;;;;;;;;;;;;;;;-2;;;;;;;;;;;;;;;;;;;;;;;;;;;forward;;;;water;;drain;;;;;;;;;culvert;4;4;OberÃ¶sterreich;1;Ã–sterreich;11982589835;11982,58984;01.10.2017;26892314899;1320561,023
POINT (13.9858944 48.4334484);w893545142;893545142;way;;;;;;;;;;;;;;;;;;;;-3;;;;;;;;;;;;;;;;;;;;;;;;;;;forward;;;;water;;drain;;;;;;;;;culvert;4;4;OberÃ¶sterreich;1;Ã–sterreich;11982589835;11982,58984;01.10.2017;26892314899;1320561,023
POINT (13.98593545 48.43343285);w893545143;893545143;way;;;Druckrohrleitung Stausee Langhalsen-Kraftwerk Partenstein;Energie AG;;;;;;;;;;;;;;;;-3;;;;;;;;;;;;;;;;;;;;;;;;;13m³/s;1600;forward;overground;pipeline;17,6;water;headrace;pressurised;;;;;;;pressurised;forward;culvert;4;4;OberÃ¶sterreich;1;Ã–sterreich;11982589835;11982,58984;01.10.2017;26892314899;1320561,023
POINT (13.98592675 48.4334167);w893547729;893547729;way;;;;;;;;;;;;;;;;;;;;-1;;;;;;;;;;;;;;;;;;;;;;;;;;;forward;;;;water;;drain;;;;;;;;;culvert;4;4;OberÃ¶sterreich;1;Ã–sterreich;11982589835;11982,58984;01.10.2017;26892314899;1320561,023
POINT (13.98579435 48.43335055);w893547730;893547730;way;;;;;;;;;;;;;;;;;;;;-1;;;;;;;;;;;;;;;;;;;;;;;;;;;forward;;;;water;;drain;;;;;;;;;culvert;4;4;OberÃ¶sterreich;1;Ã–sterreich;11982589835;11982,58984;01.10.2017;26892314899;1320561,023
POINT (14.9776971128461 48.1329575633929);w895763254;895763254;way;;;;;photovoltaic;yes;solar;plant;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;3;NiederÃ¶sterreich;1;Ã–sterreich;19179264850;19179,26485;01.10.2017;43300422994;1756980,271
POINT (15.2322593675903 47.4014902878192);w901181068;901181068;way;;;;;photovoltaic;yes;solar;plant;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6;6;Steiermark;1;Ã–sterreich;16398760502;16398,7605;01.10.2017;35629716603;1380312,421
POINT (15.0618863144275 46.9638843341739);w903440177;903440177;way;;;;ASFiNAG;photovoltaic;50 kW;solar;plant;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6;6;Steiermark;1;Ã–sterreich;16398760502;16398,7605;01.10.2017;35629716603;1380312,421
POINT (16.1338597126141 47.6887841467857);w910049078;910049078;way;;;;;;;solar;plant;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;3;NiederÃ¶sterreich;1;Ã–sterreich;19179264850;19179,26485;01.10.2017;43300422994;1756980,271
POINT (11.396485506705 47.2153546552127);w922738129;922738129;way;;;;IKB AG;;;;plant;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7;7;Tirol;1;Ã–sterreich;12648339352;12648,33935;01.10.2017;27380103698;1538631,046
POINT (16.4681075549731 48.1689428213962);w931583218;931583218;way;;;;;photovoltaic;yes;solar;plant;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;9;9;Wien;1;Ã–sterreich;414752412;414,752412;01.10.2017;933480269,5;203048,3275
POINT (15.0805443758921 48.163477571772);w934431763;934431763;way;;;;;photovoltaic;yes;solar;plant;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;3;NiederÃ¶sterreich;1;Ã–sterreich;19179264850;19179,26485;01.10.2017;43300422994;1756980,271
POINT (16.2780937038749 47.0620222873894);w946145426;946145426;way;;;Photovoltaikanlage;Eigentümer;photovoltaic;10 KWp;solar;plant;;;;;;;;;;;;;;;;;;22.04.2021;;Güssing;;51a;;7540;Steingraben;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;Burgenland;1;Ã–sterreich;3965202735;3965,202735;01.10.2017;8695821877;1121735,798
POINT (16.3538827929412 48.0018356814371);w951654529;951654529;way;;;;Wien Energie;photovoltaic;yes;solar;plant;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;3;NiederÃ¶sterreich;1;Ã–sterreich;19179264850;19179,26485;01.10.2017;43300422994;1756980,271
POINT (16.3539582534342 48.0043332869497);w951654530;951654530;way;;;;Wien Energie;photovoltaic;yes;solar;plant;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;3;NiederÃ¶sterreich;1;Ã–sterreich;19179264850;19179,26485;01.10.2017;43300422994;1756980,271
POINT (10.414061308397 47.1414932466004);w952489781;952489781;way;;;;;;;hydro;plant;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7;7;Tirol;1;Ã–sterreich;12648339352;12648,33935;01.10.2017;27380103698;1538631,046
POINT (13.4069141608492 47.3456354425401);w957605024;957605024;way;;;;;photovoltaic;yes;solar;plant;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5;5;Salzburg;1;Ã–sterreich;7154584478;7154,584478;01.10.2017;15614090483;1149859,065
POINT (13.4099286503486 47.3451925330416);w957605025;957605025;way;;;;;photovoltaic;yes;solar;plant;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5;5;Salzburg;1;Ã–sterreich;7154584478;7154,584478;01.10.2017;15614090483;1149859,065
POINT (10.4014831346285 47.070332675667);w968257220;968257220;way;;;;;;;hydro;plant;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7;7;Tirol;1;Ã–sterreich;12648339352;12648,33935;01.10.2017;27380103698;1538631,046
POINT (14.3471586723598 46.7565891674952);w969601158;969601158;way;;;;;photovoltaic;yes;solar;plant;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;KÃ¤rnten;1;Ã–sterreich;9536545489;9536,545489;01.10.2017;20336372390;1007787,631
POINT (14.3453098779746 46.7557143440077);w969601159;969601159;way;;;;;photovoltaic;yes;solar;plant;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;KÃ¤rnten;1;Ã–sterreich;9536545489;9536,545489;01.10.2017;20336372390;1007787,631
POINT (14.1617593296115 48.079409473801);w973035934;973035934;way;;;;;photovoltaic;;solar;plant;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;4;OberÃ¶sterreich;1;Ã–sterreich;11982589835;11982,58984;01.10.2017;26892314899;1320561,023
